Name,File Name,Size,File
application vnd openxmlformats officedocument wordprocessingml document,application-vnd.openxmlformats-officedocument.wordprocessingml.document.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.openxmlformats-officedocument.wordprocessingml.document.svg
application vnd sun xml calc,application-vnd.sun.xml.calc.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.calc.svg
application vnd sun xml draw,application-vnd.sun.xml.draw.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.draw.svg
application vnd sun xml writer rtl,application-vnd.sun.xml.writer-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.writer-rtl.svg
application vnd sun xml writer,application-vnd.sun.xml.writer.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.sun.xml.writer.svg
application vnd wordperfect rtl,application-vnd.wordperfect-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.wordperfect-rtl.svg
application vnd wordperfect,application-vnd.wordperfect.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-vnd.wordperfect.svg
application x bittorrent,application-x-bittorrent.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-bittorrent.svg
application x blender,application-x-blender.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-blender.svg
application x cd image,application-x-cd-image.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-cd-image.svg
application x class file,application-x-class-file.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-class-file.svg
application x desktop,application-x-desktop.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-desktop.svg
application x executable,application-x-executable.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-executable.svg
application x fictionbook xml,application-x-fictionbook+xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-fictionbook+xml.svg
application x firmware,application-x-firmware.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-firmware.svg
application x flash video,application-x-flash-video.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-flash-video.svg
application x generic,application-x-generic.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-generic.svg
application x gnome theme package rtl,application-x-gnome-theme-package-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-gnome-theme-package-rtl.svg
application x gnome theme package,application-x-gnome-theme-package.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-gnome-theme-package.svg
application x gnumeric,application-x-gnumeric.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-gnumeric.svg
application x java,application-x-java.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-java.svg
application x javascript,application-x-javascript.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-javascript.svg
application x m4,application-x-m4.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-m4.svg
application x ms dos executable,application-x-ms-dos-executable.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-ms-dos-executable.svg
application x msi,application-x-msi.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-msi.svg
application x object,application-x-object.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-object.svg
application x partial download,application-x-partial-download.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-partial-download.svg
application x php,application-x-php.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-php.svg
application x python bytecode,application-x-python-bytecode.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-python-bytecode.svg
application x raw disk image,application-x-raw-disk-image.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-raw-disk-image.svg
application x ruby,application-x-ruby.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-ruby.svg
application x shellscript,application-x-shellscript.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-shellscript.svg
application x shockwave flash,application-x-shockwave-flash.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-shockwave-flash.svg
application x sqlite2,application-x-sqlite2.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-sqlite2.svg
application x sqlite3,application-x-sqlite3.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-sqlite3.svg
application x subrip,application-x-subrip.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-subrip.svg
application x theme rtl,application-x-theme-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-theme-rtl.svg
application x theme,application-x-theme.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-x-theme.svg
application xml,application-xml.svg,16,https://wentin.github.io/elementary-icons/svg/16/application-xml.svg
applications internet,applications-internet.svg,16,https://wentin.github.io/elementary-icons/svg/16/applications-internet.svg
applications other,applications-other.svg,16,https://wentin.github.io/elementary-icons/svg/16/applications-other.svg
appointment missed,appointment-missed.svg,16,https://wentin.github.io/elementary-icons/svg/16/appointment-missed.svg
appointment new,appointment-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/appointment-new.svg
appointment soon,appointment-soon.svg,16,https://wentin.github.io/elementary-icons/svg/16/appointment-soon.svg
appointment,appointment.svg,16,https://wentin.github.io/elementary-icons/svg/16/appointment.svg
archive manager,archive-manager.svg,16,https://wentin.github.io/elementary-icons/svg/16/archive-manager.svg
audio card,audio-card.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-card.svg
audio headphones,audio-headphones.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-headphones.svg
audio headsets,audio-headsets.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-headsets.svg
audio input microphone,audio-input-microphone.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-input-microphone.svg
audio mpeg,audio-mpeg.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-mpeg.svg
audio speakers,audio-speakers.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-speakers.svg
audio x generic,audio-x-generic.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-generic.svg
audio x mp3 playlist rtl,audio-x-mp3-playlist-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-mp3-playlist-rtl.svg
audio x mp3 playlist,audio-x-mp3-playlist.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-mp3-playlist.svg
audio x mpegurl rtl,audio-x-mpegurl-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-mpegurl-rtl.svg
audio x mpegurl,audio-x-mpegurl.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-mpegurl.svg
audio x playlist rtl,audio-x-playlist-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-playlist-rtl.svg
audio x playlist,audio-x-playlist.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-playlist.svg
audio x scpls rtl,audio-x-scpls-rtl.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-scpls-rtl.svg
audio x scpls,audio-x-scpls.svg,16,https://wentin.github.io/elementary-icons/svg/16/audio-x-scpls.svg
avatar default,avatar-default.svg,16,https://wentin.github.io/elementary-icons/svg/16/avatar-default.svg
binary,binary.svg,16,https://wentin.github.io/elementary-icons/svg/16/binary.svg
bluetooth,bluetooth.svg,16,https://wentin.github.io/elementary-icons/svg/16/bluetooth.svg
bookmark missing,bookmark-missing.svg,16,https://wentin.github.io/elementary-icons/svg/16/bookmark-missing.svg
bookmark new,bookmark-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/bookmark-new.svg
browser download,browser-download.svg,16,https://wentin.github.io/elementary-icons/svg/16/browser-download.svg
calendar,calendar.svg,16,https://wentin.github.io/elementary-icons/svg/16/calendar.svg
call end,call-end.svg,16,https://wentin.github.io/elementary-icons/svg/16/call-end.svg
call start,call-start.svg,16,https://wentin.github.io/elementary-icons/svg/16/call-start.svg
call stop,call-stop.svg,16,https://wentin.github.io/elementary-icons/svg/16/call-stop.svg
camera video,camera-video.svg,16,https://wentin.github.io/elementary-icons/svg/16/camera-video.svg
camera web,camera-web.svg,16,https://wentin.github.io/elementary-icons/svg/16/camera-web.svg
changes prevent,changes-prevent.svg,16,https://wentin.github.io/elementary-icons/svg/16/changes-prevent.svg
channel secure,channel-secure.svg,16,https://wentin.github.io/elementary-icons/svg/16/channel-secure.svg
computer apple ipad,computer-apple-ipad.svg,16,https://wentin.github.io/elementary-icons/svg/16/computer-apple-ipad.svg
computer convertible,computer-convertible.svg,16,https://wentin.github.io/elementary-icons/svg/16/computer-convertible.svg
computer laptop,computer-laptop.svg,16,https://wentin.github.io/elementary-icons/svg/16/computer-laptop.svg
computer,computer.svg,16,https://wentin.github.io/elementary-icons/svg/16/computer.svg
config language,config-language.svg,16,https://wentin.github.io/elementary-icons/svg/16/config-language.svg
contact new,contact-new.svg,16,https://wentin.github.io/elementary-icons/svg/16/contact-new.svg
dialog error,dialog-error.svg,16,https://wentin.github.io/elementary-icons/svg/16/dialog-error.svg
dialog information,dialog-information.svg,16,https://wentin.github.io/elementary-icons/svg/16/dialog-information.svg
dialog question,dialog-question.svg,16,https://wentin.github.io/elementary-icons/svg/16/dialog-question.svg
dialog warning,dialog-warning.svg,16,https://wentin.github.io/elementary-icons/svg/16/dialog-warning.svg
distribute horizontal center,distribute-horizontal-center.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-horizontal-center.svg
distribute horizontal gaps,distribute-horizontal-gaps.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-horizontal-gaps.svg
distribute horizontal left,distribute-horizontal-left.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-horizontal-left.svg
distribute horizontal right,distribute-horizontal-right.svg,16,https://wentin.github.io/elementary-icons/svg/16/distribute-horizontal-right.svg
